,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,assam,2023,1,Merchant payments,48987048,39416860194.0
1,assam,2023,1,Peer-to-peer payments,48461200,166509153749.0
2,assam,2023,1,Recharge & bill payments,16113464,6266406177.0
3,assam,2023,1,Financial Services,82270,86978703.0
4,assam,2023,1,Others,116656,74768264.0
5,assam,2023,2,Merchant payments,62403711,45515248236.0
6,assam,2023,2,Peer-to-peer payments,57852989,182809282981.0
7,assam,2023,2,Recharge & bill payments,17858409,6631355080.0
8,assam,2023,2,Financial Services,81172,84797972.0
9,assam,2023,2,Others,94672,70104514.0
10,assam,2020,1,Peer-to-peer payments,4058740,18977446151.768826
11,assam,2020,1,Recharge & bill payments,3897975,971722606.1579468
12,assam,2020,1,Merchant payments,792646,675423852.9512749
13,assam,2020,1,Financial Services,10173,7054325.507515656
14,assam,2020,1,Others,49326,36781411.34368035
15,assam,2020,2,Recharge & bill payments,6045321,1612522828.7163475
16,assam,2020,2,Peer-to-peer payments,3648386,17358374071.26616
17,assam,2020,2,Merchant payments,742400,749018053.2400584
18,assam,2020,2,Financial Services,19814,18130004.687672265
19,assam,2020,2,Others,49278,28255168.009208795
20,assam,2020,4,Peer-to-peer payments,7538478,36013292450.814384
21,assam,2020,4,Recharge & bill payments,5383505,1662189124.4177454
22,assam,2020,4,Merchant payments,2392184,2466913305.59039
23,assam,2020,4,Financial Services,29764,32314809.975261033
24,assam,2020,4,Others,79523,51901628.46643049
25,assam,2020,3,Peer-to-peer payments,5637893,26646565777.43919
26,assam,2020,3,Recharge & bill payments,5292154,1627282415.9451878
27,assam,2020,3,Merchant payments,1383230,1492484153.3873158
28,assam,2020,3,Financial Services,24954,28452966.026372254
29,assam,2020,3,Others,59480,36605946.74600269
30,assam,2019,1,Recharge & bill payments,1993220,400281677.94382846
31,assam,2019,1,Peer-to-peer payments,1976310,7291433300.700247
32,assam,2019,1,Merchant payments,494871,266644645.74929428
33,assam,2019,1,Financial Services,20162,4612454.1127945455
34,assam,2019,1,Others,48442,39127457.944687635
35,assam,2019,2,Recharge & bill payments,2512932,539315772.8606573
36,assam,2019,2,Peer-to-peer payments,2293770,10035232820.852964
37,assam,2019,2,Merchant payments,573646,326844709.5879724
38,assam,2019,2,Financial Services,13654,4037222.414240564
39,assam,2019,2,Others,60927,49538663.41037582
40,assam,2019,4,Peer-to-peer payments,3222143,14083346879.361855
41,assam,2019,4,Recharge & bill payments,2937800,704118873.972094
42,assam,2019,4,Merchant payments,544053,456318130.082201
43,assam,2019,4,Financial Services,9621,3492255.0860687294
44,assam,2019,4,Others,46893,34707757.009855896
45,assam,2019,3,Peer-to-peer payments,2713539,11835800855.176552
46,assam,2019,3,Recharge & bill payments,2645302,639885372.7480905
47,assam,2019,3,Merchant payments,513728,421380275.4207429
48,assam,2019,3,Financial Services,8606,6403456.344768786
49,assam,2019,3,Others,61396,46973660.73634353
50,assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
51,assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
52,assam,2021,1,Merchant payments,3459132,3657261586.2001615
53,assam,2021,1,Financial Services,34049,41291047.3832124
54,assam,2021,1,Others,75672,48814663.88782827
55,assam,2021,2,Peer-to-peer payments,11668399,51521387890.61253
56,assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
57,assam,2021,2,Merchant payments,4562669,4914753140.040101
58,assam,2021,2,Financial Services,49671,46106001.498141706
59,assam,2021,2,Others,94161,52549929.267157935
60,assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
61,assam,2021,4,Merchant payments,12895755,13378765005.905182
