,State,Year,Quarter,Brands,User_Count,User_Percentage
0,assam,2020,1,Xiaomi,576697,26.38212978
1,assam,2020,1,Vivo,410865,18.79582129
2,assam,2020,1,Samsung,337886,15.45725451
3,assam,2020,1,Oppo,292242,13.36918064
4,assam,2020,1,Realme,167659,7.669888167
5,assam,2020,1,Huawei,39212,1.793829468
6,assam,2020,1,Motorola,34939,1.598352744
7,assam,2020,1,Gionee,33136,1.51587099
8,assam,2020,1,Asus,32099,1.468431401
9,assam,2020,1,Lenovo,28782,1.316688762
10,assam,2020,1,Others,232421,10.63255225
11,assam,2020,2,Xiaomi,663323,26.00366226
12,assam,2020,2,Vivo,494955,19.40328114
13,assam,2020,2,Samsung,388754,15.23997769
14,assam,2020,2,Oppo,346884,13.59858527
15,assam,2020,2,Realme,204222,8.005933632
16,assam,2020,2,Huawei,44120,1.729597163
17,assam,2020,2,Motorola,38074,1.492581196
18,assam,2020,2,Gionee,37873,1.484701572
19,assam,2020,2,Asus,36040,1.412844101
20,assam,2020,2,Lenovo,31346,1.22882939
21,assam,2020,2,Others,265292,10.40000659
22,assam,2020,4,Xiaomi,792324,25.50820903
23,assam,2020,4,Vivo,627536,20.20299708
24,assam,2020,4,Samsung,465965,15.00135376
25,assam,2020,4,Oppo,431650,13.89661102
26,assam,2020,4,Realme,271012,8.725004853
27,assam,2020,4,Huawei,50719,1.632855819
28,assam,2020,4,Motorola,42173,1.357724491
29,assam,2020,4,Gionee,41431,1.333836421
30,assam,2020,4,Asus,40998,1.319896348
31,assam,2020,4,Lenovo,34802,1.120421306
32,assam,2020,4,Others,307543,9.901089869
33,assam,2020,3,Xiaomi,729048,25.7613133
34,assam,2020,3,Vivo,564343,19.94137125
35,assam,2020,3,Samsung,427293,15.09863389
36,assam,2020,3,Oppo,388827,13.73941656
37,assam,2020,3,Realme,236986,8.374031055
38,assam,2020,3,Huawei,47619,1.682643636
39,assam,2020,3,Motorola,40261,1.422644647
40,assam,2020,3,Gionee,39463,1.394446877
41,assam,2020,3,Asus,38775,1.370136017
42,assam,2020,3,Lenovo,33169,1.172044914
43,assam,2020,3,Others,284227,10.04331785
44,assam,2019,1,Xiaomi,334681,26.5812872
45,assam,2019,1,Vivo,212982,16.91561729
46,assam,2019,1,Samsung,202440,16.07834261
47,assam,2019,1,Oppo,153803,12.21545805
48,assam,2019,1,Realme,84813,6.736082155
49,assam,2019,1,Motorola,24528,1.948081345
50,assam,2019,1,Gionee,23250,1.846579063
51,assam,2019,1,Lenovo,22797,1.810600555
52,assam,2019,1,Asus,22514,1.788123915
53,assam,2019,1,Huawei,22249,1.767076885
54,assam,2019,1,Others,155028,12.31275093
55,assam,2019,2,Xiaomi,397560,26.50173852
56,assam,2019,2,Vivo,260776,17.38358327
57,assam,2019,2,Samsung,242964,16.19621792
58,assam,2019,2,Oppo,188693,12.57845997
59,assam,2019,2,Realme,100087,6.671897331
60,assam,2019,2,Motorola,28185,1.878839672
61,assam,2019,2,Gionee,27145,1.809512255
62,assam,2019,2,Huawei,26683,1.778714883
63,assam,2019,2,Asus,26345,1.756183472
64,assam,2019,2,Lenovo,26095,1.739518228
65,assam,2019,2,Others,175595,11.70533448
66,assam,2019,4,Xiaomi,517791,26.67348369
67,assam,2019,4,Vivo,355815,18.32945261
68,assam,2019,4,Samsung,302655,15.59096857
69,assam,2019,4,Oppo,254644,13.11773009
70,assam,2019,4,Realme,140535,7.239519477
71,assam,2019,4,Huawei,35293,1.818083473
72,assam,2019,4,Gionee,33438,1.72252501
73,assam,2019,4,Motorola,32828,1.691101472
74,assam,2019,4,Asus,28977,1.492721072
75,assam,2019,4,Lenovo,26680,1.374393423
76,assam,2019,4,Others,212564,10.95002112
77,assam,2019,3,Xiaomi,463729,26.78156744
78,assam,2019,3,Vivo,309395,17.86837368
79,assam,2019,3,Samsung,272124,15.71587556
80,assam,2019,3,Oppo,222464,12.84788016
81,assam,2019,3,Realme,119091,6.877817967
82,assam,2019,3,Huawei,31407,1.813836721
83,assam,2019,3,Gionee,30833,1.780686713
84,assam,2019,3,Motorola,30628,1.768847425
85,assam,2019,3,Asus,30395,1.755391063
86,assam,2019,3,Lenovo,25713,1.484993269
87,assam,2019,3,Others,195744,11.30473
88,assam,2021,1,Xiaomi,852998,25.39857696
89,assam,2021,1,Vivo,692740,20.62678952
90,assam,2021,1,Samsung,495482,14.75330272
91,assam,2021,1,Oppo,467440,13.91833371
92,assam,2021,1,Realme,303919,9.049388289
93,assam,2021,1,Huawei,53218,1.584600982
94,assam,2021,1,Asus,46880,1.39588286
95,assam,2021,1,Motorola,43119,1.283896609
96,assam,2021,1,Gionee,41879,1.246974793
97,assam,2021,1,Apple,37442,1.114860197
98,assam,2021,1,Others,323331,9.627393367
99,assam,2021,2,Xiaomi,909274,25.13851044
100,assam,2021,2,Vivo,753920,20.84347049
101,assam,2021,2,Samsung,522765,14.45277596
102,assam,2021,2,Oppo,503448,13.91872285
103,assam,2021,2,Realme,358841,9.920802996
104,assam,2021,2,Huawei,51958,1.436472092
105,assam,2021,2,Asus,45364,1.254169136
106,assam,2021,2,Motorola,42821,1.183863341
107,assam,2021,2,Apple,41622,1.150714835
108,assam,2021,2,Gionee,41574,1.149387789
109,assam,2021,2,Others,345469,9.551110074
110,assam,2021,4,Xiaomi,1040847,24.72560873
111,assam,2021,4,Vivo,889004,21.11853622
112,assam,2021,4,Oppo,590804,14.03471264
113,assam,2021,4,Samsung,559238,13.28485356
114,assam,2021,4,Realme,501363,11.91001691
115,assam,2021,4,Huawei,54361,1.29136061
116,assam,2021,4,Apple,53459,1.26993335
117,assam,2021,4,Tecno,46362,1.101342149
118,assam,2021,4,OnePlus,45171,1.073049615
119,assam,2021,4,Motorola,43263,1.027724546
120,assam,2021,4,Others,385719,9.162861665
121,assam,2021,3,Xiaomi,977013,24.9334691
122,assam,2021,3,Vivo,827232,21.11104306
123,assam,2021,3,Oppo,549403,14.0208193
124,assam,2021,3,Samsung,540646,13.79733978
125,assam,2021,3,Realme,422801,10.78992364
126,assam,2021,3,Huawei,56098,1.431626549
127,assam,2021,3,Apple,45531,1.161955656
128,assam,2021,3,Gionee,44481,1.135159552
129,assam,2021,3,Asus,43763,1.11683612
130,assam,2021,3,Motorola,42384,1.081643903
131,assam,2021,3,Others,369128,9.420183336
132,assam,2018,1,Xiaomi,101793,26.42347438
133,assam,2018,1,Samsung,61603,15.99093545
134,assam,2018,1,Vivo,50781,13.18175565
135,assam,2018,1,Oppo,40778,10.58517224
136,assam,2018,1,Realme,26387,6.849549758
137,assam,2018,1,Lenovo,9294,2.412540851
138,assam,2018,1,Gionee,9094,2.360624758
139,assam,2018,1,Motorola,8922,2.315976918
140,assam,2018,1,Apple,8319,2.159449897
141,assam,2018,1,Asus,7905,2.051983584
142,assam,2018,1,Others,60361,15.66853651
143,assam,2018,2,Xiaomi,152839,26.764744
144,assam,2018,2,Samsung,89734,15.7139705
145,assam,2018,2,Vivo,80455,14.08905762
146,assam,2018,2,Oppo,62688,10.9777496
147,assam,2018,2,Realme,38933,6.817839544
148,assam,2018,2,Lenovo,13092,2.292634919
149,assam,2018,2,Motorola,12862,2.252357954
150,assam,2018,2,Gionee,12545,2.196845788
151,assam,2018,2,Asus,11093,1.942575554
152,assam,2018,2,Apple,11044,1.93399481
153,assam,2018,2,Others,85761,15.0182297
154,assam,2018,4,Xiaomi,277115,26.66564667
155,assam,2018,4,Vivo,169404,16.30105627
156,assam,2018,4,Samsung,167786,16.14536273
157,assam,2018,4,Oppo,122447,11.7825756
158,assam,2018,4,Realme,70255,6.760352225
159,assam,2018,4,Motorola,21507,2.069530927
160,assam,2018,4,Lenovo,20275,1.95098059
161,assam,2018,4,Gionee,20028,1.927212787
162,assam,2018,4,Asus,19175,1.845132075
163,assam,2018,4,Huawei,17882,1.720711956
164,assam,2018,4,Others,133347,12.83143816
165,assam,2018,3,Xiaomi,210185,26.78191442
166,assam,2018,3,Samsung,125434,15.98288486
167,assam,2018,3,Vivo,119540,15.2318674
168,assam,2018,3,Oppo,88721,11.30488964
169,assam,2018,3,Realme,53089,6.764636176
170,assam,2018,3,Motorola,17022,2.168954717
171,assam,2018,3,Gionee,17020,2.168699876
172,assam,2018,3,Lenovo,15831,2.017196694
173,assam,2018,3,Asus,14498,1.847344935
174,assam,2018,3,Apple,13471,1.716483903
175,assam,2018,3,Others,109991,14.01512738
176,assam,2022,1,Xiaomi,1094829,24.36966747
177,assam,2022,1,Vivo,949299,21.13033264
178,assam,2022,1,Oppo,636621,14.17047052
179,assam,2022,1,Samsung,577746,12.85997896
180,assam,2022,1,Realme,573316,12.76137212
181,assam,2022,1,Apple,59621,1.327096692
182,assam,2022,1,Tecno,55957,1.245540155
183,assam,2022,1,Huawei,54586,1.21502323
184,assam,2022,1,OnePlus,52178,1.161423847
185,assam,2022,1,Infinix,47589,1.059277846
186,assam,2022,1,Others,390847,8.69981652
187,tripura,2020,1,Xiaomi,75081,25.03017049
188,tripura,2020,1,Samsung,69532,23.1802695
189,tripura,2020,1,Oppo,40260,13.42170008
190,tripura,2020,1,Vivo,33266,11.09007141
191,tripura,2020,1,Realme,23927,7.976677046
192,tripura,2020,1,Asus,6050,2.016922143
193,tripura,2020,1,Gionee,5095,1.698548483
194,tripura,2020,1,Motorola,5014,1.671545062
195,tripura,2020,1,Lenovo,5012,1.670878311
196,tripura,2020,1,Micromax,4634,1.544862349
197,tripura,2020,1,Others,32091,10.69835512
198,tripura,2020,2,Xiaomi,83763,24.88014828
199,tripura,2020,2,Samsung,77685,23.07479817
200,tripura,2020,2,Oppo,46283,13.74745297
201,tripura,2020,2,Vivo,38364,11.39527009
202,tripura,2020,2,Realme,28326,8.413680027
203,tripura,2020,2,Asus,6561,1.94881574
204,tripura,2020,2,Gionee,5452,1.619409147
205,tripura,2020,2,Motorola,5344,1.587329876
206,tripura,2020,2,Lenovo,5242,1.557032786
207,tripura,2020,2,Huawei,5008,1.487527698
208,tripura,2020,2,Others,34638,10.28853522
209,tripura,2020,4,Xiaomi,101066,24.70386937
210,tripura,2020,4,Samsung,93412,22.83297891
211,tripura,2020,4,Oppo,57851,14.14069566
212,tripura,2020,4,Vivo,48775,11.92222141
213,tripura,2020,4,Realme,38173,9.330742343
214,tripura,2020,4,Asus,7328,1.791205299
215,tripura,2020,4,Motorola,5862,1.432866466
216,tripura,2020,4,Gionee,5805,1.418933783
217,tripura,2020,4,Huawei,5778,1.412334091
218,tripura,2020,4,Lenovo,5769,1.410134194
219,tripura,2020,4,Others,39291,9.604018479
220,tripura,2020,3,Xiaomi,93468,24.81027577
221,tripura,2020,3,Samsung,86403,22.93493235
222,tripura,2020,3,Oppo,52607,13.96407516
223,tripura,2020,3,Vivo,44208,11.73463293
224,tripura,2020,3,Realme,33649,8.931837306
225,tripura,2020,3,Asus,7020,1.863398552
226,tripura,2020,3,Motorola,5686,1.509299739
227,tripura,2020,3,Gionee,5652,1.500274732
228,tripura,2020,3,Lenovo,5550,1.47319971
229,tripura,2020,3,Huawei,5432,1.441877626
230,tripura,2020,3,Others,37056,9.836196119
231,tripura,2019,1,Xiaomi,46096,25.15415762
232,tripura,2019,1,Samsung,42367,23.11927707
233,tripura,2019,1,Oppo,22197,12.11269604
234,tripura,2019,1,Vivo,17880,9.756949371
235,tripura,2019,1,Realme,12553,6.850055115
236,tripura,2019,1,Asus,4231,2.30881727
237,tripura,2019,1,Gionee,4052,2.211138638
238,tripura,2019,1,Lenovo,3967,2.16475493
239,tripura,2019,1,Motorola,3844,2.097634977
240,tripura,2019,1,Micromax,3800,2.073624587
241,tripura,2019,1,Others,22267,12.15089439
242,tripura,2019,2,Xiaomi,54603,25.08821746
243,tripura,2019,2,Samsung,51075,23.4672217
244,tripura,2019,2,Oppo,27375,12.57787947
245,tripura,2019,2,Vivo,22017,10.11606109
246,tripura,2019,2,Realme,14896,6.844204297
247,tripura,2019,2,Asus,4919,2.260112845
248,tripura,2019,2,Gionee,4636,2.13008399
249,tripura,2019,2,Lenovo,4490,2.063001967
250,tripura,2019,2,Motorola,4321,1.985352227
251,tripura,2019,2,Micromax,4165,1.913675544
252,tripura,2019,2,Others,25147,11.55418941
253,tripura,2019,4,Xiaomi,68653,25.21245106
254,tripura,2019,4,Samsung,63478,23.31195969
255,tripura,2019,4,Oppo,35779,13.13964847
256,tripura,2019,4,Vivo,29148,10.7044488
257,tripura,2019,4,Realme,20529,7.539166648
258,tripura,2019,4,Asus,5562,2.042615076
259,tripura,2019,4,Gionee,5248,1.927300237
260,tripura,2019,4,Motorola,4789,1.758734915
261,tripura,2019,4,Lenovo,4722,1.73412952
262,tripura,2019,4,Micromax,4708,1.728988094
263,tripura,2019,4,Others,29682,10.90055748
264,tripura,2019,3,Xiaomi,61894,25.21592465
265,tripura,2019,3,Samsung,57464,23.41112053
266,tripura,2019,3,Oppo,31453,12.81410925
267,tripura,2019,3,Vivo,25583,10.42264194
268,tripura,2019,3,Realme,17453,7.110439346
269,tripura,2019,3,Asus,5603,2.282690177
270,tripura,2019,3,Gionee,4975,2.026839841
271,tripura,2019,3,Motorola,4535,1.847581644
272,tripura,2019,3,Micromax,4461,1.817433674
273,tripura,2019,3,Lenovo,4420,1.80073007
274,tripura,2019,3,Others,27615,11.25048889
275,tripura,2021,1,Xiaomi,108575,24.69656716
276,tripura,2021,1,Samsung,99168,22.55684248
277,tripura,2021,1,Oppo,62419,14.19788188
278,tripura,2021,1,Vivo,53698,12.21419538
279,tripura,2021,1,Realme,42622,9.694838457
280,tripura,2021,1,Asus,8143,1.852214104
281,tripura,2021,1,Huawei,6052,1.376593364
282,tripura,2021,1,Motorola,5947,1.352709969
283,tripura,2021,1,Gionee,5872,1.335650402
284,tripura,2021,1,Lenovo,5785,1.315861303
285,tripura,2021,1,Others,41355,9.406645498
286,tripura,2021,2,Xiaomi,116546,24.68394779
287,tripura,2021,2,Samsung,104057,22.03883063
288,tripura,2021,2,Oppo,66970,14.18396155
289,tripura,2021,2,Vivo,58517,12.39365206
290,tripura,2021,2,Realme,50025,10.59508253
291,tripura,2021,2,Asus,7942,1.682081868
292,tripura,2021,2,Motorola,5999,1.27056272
293,tripura,2021,2,Huawei,5937,1.257431383
294,tripura,2021,2,Lava,5937,1.257431383
295,tripura,2021,2,Gionee,5794,1.227144591
296,tripura,2021,2,Others,44429,9.409873494
297,tripura,2021,4,Xiaomi,135695,24.83928009
298,tripura,2021,4,Samsung,110734,20.27011195
299,tripura,2021,4,Oppo,77764,14.23487805
300,tripura,2021,4,Vivo,69926,12.80011422
301,tripura,2021,4,Realme,68822,12.5980245
302,tripura,2021,4,Asus,7552,1.382410872
303,tripura,2021,4,Huawei,6396,1.170802428
304,tripura,2021,4,Motorola,6315,1.155975193
305,tripura,2021,4,Lava,6023,1.102523925
306,tripura,2021,4,Gionee,5955,1.090076369
307,tripura,2021,4,Others,51110,9.355802391
308,tripura,2021,3,Xiaomi,126117,24.73226665
309,tripura,2021,3,Samsung,107662,21.11313536
310,tripura,2021,3,Oppo,72865,14.28924419
311,tripura,2021,3,Vivo,64797,12.70706314
312,tripura,2021,3,Realme,58578,11.48748159
313,tripura,2021,3,Asus,7665,1.503150439
314,tripura,2021,3,Huawei,6499,1.274491155
315,tripura,2021,3,Gionee,6096,1.195460545
316,tripura,2021,3,Lava,6044,1.185263046
317,tripura,2021,3,Motorola,6025,1.181537038
318,tripura,2021,3,Others,47581,9.330906852
319,tripura,2018,1,Xiaomi,14040,25.45461138
320,tripura,2018,1,Samsung,11668,21.15415994
321,tripura,2018,1,Oppo,5778,10.47555161
322,tripura,2018,1,Vivo,4197,7.609188317
323,tripura,2018,1,Realme,3865,7.007270156
324,tripura,2018,1,Gionee,1686,3.056728974
325,tripura,2018,1,Lenovo,1576,2.857298258
326,tripura,2018,1,Micromax,1432,2.59622532
327,tripura,2018,1,Asus,1416,2.567217216
328,tripura,2018,1,Motorola,1394,2.527331073
329,tripura,2018,1,Others,8105,14.69441775
330,tripura,2018,2,Xiaomi,21258,25.49868656
331,tripura,2018,2,Samsung,17945,21.52478739
332,tripura,2018,2,Oppo,8953,10.73900371
333,tripura,2018,2,Vivo,6822,8.18289772
334,tripura,2018,2,Realme,5784,6.937830608
335,tripura,2018,2,Gionee,2373,2.846381749
336,tripura,2018,2,Lenovo,2240,2.686850028
337,tripura,2018,2,Micromax,2200,2.638870563
338,tripura,2018,2,Asus,2053,2.46254603
339,tripura,2018,2,Motorola,1988,2.3845794
340,tripura,2018,2,Others,11753,14.09756624
341,tripura,2018,4,Xiaomi,38347,25.02006329
342,tripura,2018,4,Samsung,35132,22.92238933
343,tripura,2018,4,Oppo,17942,11.70652138
344,tripura,2018,4,Vivo,14242,9.292402049
345,tripura,2018,4,Realme,10556,6.887417219
346,tripura,2018,4,Asus,3636,2.372361596
347,tripura,2018,4,Lenovo,3586,2.339738362
348,tripura,2018,4,Gionee,3584,2.338433432
349,tripura,2018,4,Motorola,3428,2.236648941
350,tripura,2018,4,Micromax,3415,2.2281669
351,tripura,2018,4,Others,19397,12.6558575
352,tripura,2018,3,Xiaomi,29627,25.34952171
353,tripura,2018,3,Samsung,25764,22.04425279
354,tripura,2018,3,Oppo,12899,11.03667197
