,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
0,assam,2023,1,tinsukia district,3283559,6117150816.0
1,assam,2023,1,lakhimpur district,2476912,4343543762.0
2,assam,2023,1,kamrup district,4930296,9371100434.0
3,assam,2023,1,kokrajhar district,2355923,4909355126.0
4,assam,2023,1,karbi anglong district,1520698,3214908329.0
5,assam,2023,1,sivasagar district,1570623,2672941443.0
6,assam,2023,1,dibrugarh district,3760225,5608974753.0
7,assam,2023,1,south salmara mancachar district,1508825,4356922804.0
8,assam,2023,1,nagaon district,6685799,14229904732.0
9,assam,2023,1,dhubri district,4783556,10188898480.0
10,assam,2023,1,golaghat district,2224582,4026121612.0
11,assam,2023,1,udalguri district,1639335,2999218033.0
12,assam,2023,1,majuli district,252765,402870909.0
13,assam,2023,1,sonitpur district,5085643,8045533285.0
14,assam,2023,1,hojai district,2133438,4081301237.0
15,assam,2023,1,marigaon district,3358524,7072156482.0
16,assam,2023,1,chirang district,1227227,2669479936.0
17,assam,2023,1,cachar district,5638260,10760387455.0
18,assam,2023,1,nalbari district,1785728,3606569741.0
19,assam,2023,1,west karbi anglong district,258669,468615052.0
20,assam,2023,1,dhemaji district,1628726,3039266504.0
21,assam,2023,1,karimganj district,3129397,7345868143.0
22,assam,2023,1,bongaigaon district,3402608,7240422273.0
23,assam,2023,1,dima hasao district,567000,1214015609.0
24,assam,2023,1,baksa district,2190401,4845776221.0
25,assam,2023,1,charaideo district,853791,1628619134.0
26,assam,2023,1,darrang district,3615988,7158735706.0
27,assam,2023,1,kamrup metropolitan district,22957420,32177527551.0
28,assam,2023,1,hailakandi district,2046225,4019608832.0
29,assam,2023,1,barpeta district,8607360,18729528128.0
30,assam,2023,1,goalpara district,4337423,9833497403.0
31,assam,2023,1,biswanath district,1384589,2345159408.0
32,assam,2023,1,jorhat district,2559123,3630187754.0
33,assam,2023,2,tinsukia district,3851912,6507525643.0
34,assam,2023,2,lakhimpur district,3057549,4876785629.0
35,assam,2023,2,kamrup district,6019583,10319507492.0
36,assam,2023,2,kokrajhar district,2949625,5758367366.0
37,assam,2023,2,karbi anglong district,1815628,3451464394.0
38,assam,2023,2,sivasagar district,1832171,2802402072.0
39,assam,2023,2,dibrugarh district,4515459,6339612450.0
40,assam,2023,2,south salmara mancachar district,1921183,4781401468.0
41,assam,2023,2,nagaon district,8290774,15933295314.0
42,assam,2023,2,dhubri district,5998987,11652162342.0
43,assam,2023,2,golaghat district,2685300,4365734962.0
44,assam,2023,2,udalguri district,2017515,3369067037.0
45,assam,2023,2,majuli district,298852,464620442.0
46,assam,2023,2,sonitpur district,6079471,9155763527.0
47,assam,2023,2,hojai district,2650538,4575809166.0
48,assam,2023,2,marigaon district,4122001,7831746623.0
49,assam,2023,2,chirang district,1562965,3117726249.0
50,assam,2023,2,cachar district,6593914,11304410610.0
51,assam,2023,2,nalbari district,2194760,4095366006.0
52,assam,2023,2,west karbi anglong district,321867,543268673.0
53,assam,2023,2,dhemaji district,1933305,3385291207.0
54,assam,2023,2,karimganj district,3708403,7737482765.0
55,assam,2023,2,bongaigaon district,4272392,8015507557.0
56,assam,2023,2,dima hasao district,723783,1412966285.0
57,assam,2023,2,baksa district,2577080,5238071690.0
58,assam,2023,2,charaideo district,1046404,1748795643.0
59,assam,2023,2,darrang district,4517036,7943501699.0
60,assam,2023,2,kamrup metropolitan district,27633429,36066525702.0
61,assam,2023,2,hailakandi district,2438411,4219916209.0
62,assam,2023,2,barpeta district,10582441,20577968723.0
63,assam,2023,2,goalpara district,5347770,10755879893.0
64,assam,2023,2,biswanath district,1733270,2748393436.0
65,assam,2023,2,jorhat district,2997175,4014450509.0
66,assam,2020,1,tinsukia district,286640,541758826.9845176
67,assam,2020,1,lakhimpur district,170709,275431087.19729304
68,assam,2020,1,kamrup district,322830,605538834.8588183
69,assam,2020,1,kokrajhar district,114668,248408355.21989542
70,assam,2020,1,karbi anglong district,113535,217131796.10672602
71,assam,2020,1,sivasagar district,145386,255427708.50909787
72,assam,2020,1,dibrugarh district,317878,585327059.678019
73,assam,2020,1,south salmara mancachar district,53050,131605619.18781178
74,assam,2020,1,nagaon district,360749,736229612.8989756
75,assam,2020,1,dhubri district,171651,396380458.8856824
76,assam,2020,1,golaghat district,179380,301335497.7930421
77,assam,2020,1,udalguri district,102667,191387716.4480479
78,assam,2020,1,majuli district,25164,35131725.05132236
79,assam,2020,1,sonitpur district,383179,755509094.6113625
80,assam,2020,1,hojai district,116561,234366183.7308593
81,assam,2020,1,marigaon district,178906,365789442.36522716
82,assam,2020,1,chirang district,69572,129457976.34682235
83,assam,2020,1,cachar district,375774,659702346.1886156
84,assam,2020,1,nalbari district,123597,204236898.97519046
85,assam,2020,1,west karbi anglong district,24370,34424503.58908371
86,assam,2020,1,dhemaji district,132751,261048437.21831787
87,assam,2020,1,karimganj district,149784,300337283.14218104
88,assam,2020,1,bongaigaon district,154338,308181647.0424576
89,assam,2020,1,dima hasao district,57312,113253608.62830341
90,assam,2020,1,baksa district,139164,286488075.0946201
91,assam,2020,1,charaideo district,88911,166505285.42115477
92,assam,2020,1,darrang district,130156,282448987.90926135
93,assam,2020,1,kamrup metropolitan district,3338601,10080547554.265474
94,assam,2020,1,hailakandi district,94255,178759552.2400369
95,assam,2020,1,barpeta district,367963,833078665.8149495
96,assam,2020,1,goalpara district,178776,399940069.48684144
97,assam,2020,1,biswanath district,108475,182185726.09962332
98,assam,2020,1,jorhat district,232108,371072710.73973197
99,assam,2020,2,tinsukia district,420620,618021383.1902584
100,assam,2020,2,lakhimpur district,272571,350989858.66494405
101,assam,2020,2,kamrup district,461735,696378364.1282135
102,assam,2020,2,kokrajhar district,172597,308298837.3237574
103,assam,2020,2,karbi anglong district,183647,292585692.4231733
104,assam,2020,2,sivasagar district,220014,286719380.2356086
105,assam,2020,2,dibrugarh district,447580,678491572.8304845
106,assam,2020,2,south salmara mancachar district,83003,196672059.63422558
107,assam,2020,2,nagaon district,521404,889592664.4056509
108,assam,2020,2,dhubri district,279128,458359612.4548876
109,assam,2020,2,golaghat district,290221,381486790.01234204
110,assam,2020,2,udalguri district,166432,268857082.80588436
111,assam,2020,2,majuli district,40396,51674787.72689781
112,assam,2020,2,sonitpur district,510820,899403354.2732959
113,assam,2020,2,hojai district,172987,285298432.07494795
114,assam,2020,2,marigaon district,240281,429689787.586447
115,assam,2020,2,chirang district,112936,166769974.12251493
116,assam,2020,2,cachar district,448258,671325302.7518412
117,assam,2020,2,nalbari district,198498,254116361.12580383
118,assam,2020,2,west karbi anglong district,42806,49256668.874245055
119,assam,2020,2,dhemaji district,205941,328331122.2696053
120,assam,2020,2,karimganj district,219675,348307355.5519594
121,assam,2020,2,bongaigaon district,215359,339332330.9810649
122,assam,2020,2,dima hasao district,90255,143371839.6172748
123,assam,2020,2,baksa district,220877,363494158.45049345
124,assam,2020,2,charaideo district,132136,187405994.2347428
125,assam,2020,2,darrang district,191116,334935860.5953754
