,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
0,assam,2023,1,781022,1749029,2342279502.0
1,assam,2023,1,781032,1627088,2012106164.0
2,assam,2023,1,781001,1280566,2136865851.0
3,assam,2023,1,781038,1247626,1749670440.0
4,assam,2023,1,783129,1110962,2698938239.0
5,assam,2023,1,781028,1090392,1791907877.0
6,assam,2023,1,781319,1061715,2251767981.0
7,assam,2023,1,781316,1032705,2431050118.0
8,assam,2023,1,784115,1009774,2061330767.0
9,assam,2023,1,783380,958481,1823666776.0
10,assam,2023,2,781022,2063166,2562924738.0
11,assam,2023,2,781032,1925566,2273047489.0
12,assam,2023,2,781038,1521317,2028270390.0
13,assam,2023,2,781001,1509598,2325206424.0
14,assam,2023,2,783129,1375422,2886541689.0
15,assam,2023,2,781028,1312976,1908981709.0
16,assam,2023,2,781319,1282666,2455281118.0
17,assam,2023,2,781316,1255423,2533622049.0
18,assam,2023,2,784115,1238883,2241313343.0
19,assam,2023,2,781308,1215013,2289450438.0
20,assam,2020,1,781009,1780036,7174086430.866011
21,assam,2020,1,781032,118710,214331822.8278841
22,assam,2020,1,781039,112344,71576592.16415787
23,assam,2020,1,781022,107942,230073726.4604506
24,assam,2020,1,781001,79047,168980460.26639146
25,assam,2020,1,781038,77757,151759510.56487012
26,assam,2020,1,781028,67504,156019307.00999779
27,assam,2020,1,781011,66187,133654758.62515348
28,assam,2020,1,781019,62192,112929794.87225011
29,assam,2020,1,781005,57925,113264666.44706726
30,assam,2020,2,781009,1192185,4778567764.009242
31,assam,2020,2,781032,98935,166763954.39924344
32,assam,2020,2,781022,89467,179401031.76221177
33,assam,2020,2,783380,73336,119626131.76408282
34,assam,2020,2,781038,71811,123805864.7382038
35,assam,2020,2,781028,64789,139873982.96043786
36,assam,2020,2,781011,63697,111255037.10041872
37,assam,2020,2,786001,60266,116013366.45086381
38,assam,2020,2,782435,59364,95325866.32569475
39,assam,2020,2,781001,59124,122990395.0546651
40,assam,2020,4,781009,2706533,10280991607.128572
41,assam,2020,4,781032,208338,423133157.9967661
42,assam,2020,4,781022,191909,448388467.12385124
43,assam,2020,4,781001,146326,361729899.31192243
44,assam,2020,4,781038,141467,305286931.8707292
45,assam,2020,4,786001,136686,399891954.20851076
46,assam,2020,4,781028,124055,335253852.494928
47,assam,2020,4,781011,115652,275380157.97551006
48,assam,2020,4,781019,109902,224541693.9827264
49,assam,2020,4,781005,107715,228190617.25331712
50,assam,2020,3,781009,2659242,10013749462.54474
51,assam,2020,3,781032,118055,232420643.47510615
52,assam,2020,3,786001,116668,338398316.1940736
53,assam,2020,3,781022,112568,249091248.38401857
54,assam,2020,3,781038,88704,179615224.2747016
55,assam,2020,3,783380,80101,178370369.63103196
56,assam,2020,3,781028,79450,195889630.84405822
57,assam,2020,3,781001,74329,171892777.86614633
58,assam,2020,3,781011,72486,143646695.19846505
59,assam,2020,3,781012,69823,156945730.9019076
60,assam,2019,1,781010,503839,1078124661.8328056
61,assam,2019,1,781032,62258,120121843.43270376
62,assam,2019,1,781039,57692,41044662.983493246
63,assam,2019,1,781022,55124,119978294.57746854
64,assam,2019,1,782123,46667,41897236.731427655
65,assam,2019,1,781001,43515,89813448.44109452
66,assam,2019,1,782127,42671,51768766.27094724
67,assam,2019,1,781136,42533,61584131.178694054
68,assam,2019,1,781038,39406,76359941.51193222
69,assam,2019,1,781314,32414,45265938.027977295
70,assam,2019,2,781010,1651072,3400967170.8048086
71,assam,2019,2,781032,67144,136158592.94434002
72,assam,2019,2,781039,61117,41121611.0098705
73,assam,2019,2,781022,56840,133563591.31288573
74,assam,2019,2,781001,45316,99439900.43321508
