,State,Year,Quarter,District_Pincode,Registered_User
0,assam,2023,1,781032,73878
1,assam,2023,1,781022,59721
2,assam,2023,1,781001,54745
3,assam,2023,1,781038,48134
4,assam,2023,1,783380,47759
5,assam,2023,1,781011,44810
6,assam,2023,1,785001,43324
7,assam,2023,1,786001,42577
8,assam,2023,1,782435,40288
9,assam,2023,1,781028,39737
10,assam,2023,2,781032,76617
11,assam,2023,2,781022,62035
12,assam,2023,2,781001,56858
13,assam,2023,2,781038,50048
14,assam,2023,2,783380,49755
15,assam,2023,2,781011,46533
16,assam,2023,2,785001,45031
17,assam,2023,2,786001,44226
18,assam,2023,2,782435,42067
19,assam,2023,2,781028,41323
20,assam,2020,1,781032,33205
21,assam,2020,1,781022,26607
22,assam,2020,1,781001,24106
23,assam,2020,1,781038,21242
24,assam,2020,1,783380,19871
25,assam,2020,1,781011,19355
26,assam,2020,1,785001,19193
27,assam,2020,1,781009,18666
28,assam,2020,1,786001,18552
29,assam,2020,1,781028,17121
30,assam,2020,2,781032,36494
31,assam,2020,2,781022,29237
32,assam,2020,2,781001,26634
33,assam,2020,2,781038,23439
34,assam,2020,2,783380,22873
35,assam,2020,2,781011,21654
36,assam,2020,2,785001,21271
37,assam,2020,2,786001,20738
38,assam,2020,2,781009,19800
39,assam,2020,2,781028,19046
40,assam,2020,4,781032,43335
41,assam,2020,4,781022,34873
42,assam,2020,4,781001,31894
43,assam,2020,4,781038,27985
44,assam,2020,4,783380,27308
45,assam,2020,4,781011,26044
46,assam,2020,4,785001,25298
47,assam,2020,4,786001,24846
48,assam,2020,4,781028,22952
49,assam,2020,4,782435,22802
50,assam,2020,3,781032,39646
51,assam,2020,3,781022,31853
52,assam,2020,3,781001,29045
53,assam,2020,3,781038,25600
54,assam,2020,3,783380,25150
55,assam,2020,3,781011,23762
56,assam,2020,3,785001,23212
57,assam,2020,3,786001,22736
58,assam,2020,3,781028,20913
59,assam,2020,3,781009,20809
60,assam,2019,1,781032,21003
61,assam,2019,1,781022,16624
62,assam,2019,1,781001,15399
63,assam,2019,1,781038,13630
64,assam,2019,1,785001,12724
65,assam,2019,1,783380,12282
66,assam,2019,1,781011,11982
67,assam,2019,1,786001,11437
68,assam,2019,1,781028,10474
69,assam,2019,1,781019,10045
70,assam,2019,2,781032,24543
71,assam,2019,2,781022,19460
72,assam,2019,2,781001,17922
73,assam,2019,2,781038,15681
74,assam,2019,2,783380,14452
75,assam,2019,2,785001,14373
76,assam,2019,2,781011,13970
77,assam,2019,2,786001,13366
78,assam,2019,2,781009,12874
79,assam,2019,2,781028,12313
80,assam,2019,4,781032,30419
81,assam,2019,4,781022,24236
82,assam,2019,4,781001,21980
83,assam,2019,4,781038,19306
84,assam,2019,4,783380,17946
85,assam,2019,4,785001,17515
86,assam,2019,4,781011,17500
87,assam,2019,4,781009,17023
88,assam,2019,4,786001,16755
89,assam,2019,4,781028,15378
90,assam,2019,3,781032,27912
91,assam,2019,3,781022,22162
92,assam,2019,3,781001,20205
93,assam,2019,3,781038,17651
94,assam,2019,3,783380,16289
95,assam,2019,3,785001,16065
96,assam,2019,3,781011,15923
97,assam,2019,3,781009,15432
98,assam,2019,3,786001,15231
99,assam,2019,3,781028,13989
100,assam,2021,1,781032,46783
101,assam,2021,1,781022,37652
102,assam,2021,1,781001,34483
103,assam,2021,1,781038,30260
104,assam,2021,1,783380,29414
105,assam,2021,1,781011,28064
106,assam,2021,1,785001,27259
107,assam,2021,1,786001,26762
108,assam,2021,1,781028,24813
109,assam,2021,1,782435,24658
110,assam,2021,2,781032,49999
111,assam,2021,2,781022,40254
112,assam,2021,2,781001,36847
113,assam,2021,2,781038,32353
114,assam,2021,2,783380,31551
115,assam,2021,2,781011,30045
116,assam,2021,2,785001,29194
117,assam,2021,2,786001,28664
118,assam,2021,2,781028,26557
119,assam,2021,2,782435,26455
120,assam,2021,4,781032,57249
121,assam,2021,4,781022,46108
122,assam,2021,4,781001,42225
123,assam,2021,4,781038,37135
124,assam,2021,4,783380,36481
125,assam,2021,4,781011,34495
126,assam,2021,4,785001,33508
127,assam,2021,4,786001,32892
128,assam,2021,4,782435,30729
129,assam,2021,4,781028,30534
130,assam,2021,3,781032,53594
131,assam,2021,3,781022,43191
132,assam,2021,3,781001,39514
133,assam,2021,3,781038,34724
134,assam,2021,3,783380,34031
135,assam,2021,3,781011,32293
136,assam,2021,3,785001,31327
137,assam,2021,3,786001,30785
138,assam,2021,3,782435,28639
139,assam,2021,3,781028,28555
140,assam,2018,1,781032,7209
141,assam,2018,1,781001,5507
142,assam,2018,1,781022,5418
143,assam,2018,1,781038,4731
144,assam,2018,1,783380,4571
145,assam,2018,1,785001,4526
146,assam,2018,1,781011,4127
147,assam,2018,1,786001,4122
148,assam,2018,1,781009,3639
149,assam,2018,1,781028,3517
150,assam,2018,2,781032,10189
151,assam,2018,2,781022,7914
152,assam,2018,2,781001,7685
153,assam,2018,2,781038,6711
154,assam,2018,2,783380,6411
155,assam,2018,2,785001,6375
156,assam,2018,2,781011,5954
157,assam,2018,2,786001,5881
158,assam,2018,2,781009,5216
159,assam,2018,2,781028,5010
160,assam,2018,4,781032,17802
